,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
333,Mixed Use,"1919-1944,1980-1989",19-20m,1,4.0
334,Mixed Use,"1919-1944,1980-1989",20-22m,3,4.0
335,Mixed Use,"1919-1944,1980-1989",22-24m,3,5.333333333333333
336,Mixed Use,"1919-1944,1980-1989",24-26m,0,
337,Mixed Use,"1919-1944,1980-1989",26-28m,0,
338,Mixed Use,"1919-1944,1980-1989",28-30m,1,6.0
339,Mixed Use,"1919-1944,1980-1989",30-35m,0,
340,Mixed Use,"1919-1944,1980-1989",35-40m,0,
341,Mixed Use,"1919-1944,1980-1989",40-45m,0,
342,Mixed Use,"1919-1944,1980-1989",45-50m,0,
343,Mixed Use,"1919-1944,1980-1989",50-55m,0,
344,Mixed Use,"1919-1944,1980-1989",55-60m,0,
345,Mixed Use,"1919-1944,1980-1989",60-70m,0,
346,Mixed Use,"1919-1944,1980-1989",70-80m,0,
347,Mixed Use,"1919-1944,1980-1989",80-90m,0,
348,Mixed Use,"1919-1944,1980-1989",90-100m,0,
349,Mixed Use,"1919-1944,1980-1989",100-200m,0,
350,Mixed Use,"1919-1944,1980-1989,Pre 1919",0-2m,0,
351,Mixed Use,"1919-1944,1980-1989,Pre 1919",2-3m,0,
352,Mixed Use,"1919-1944,1980-1989,Pre 1919",3-4m,0,
353,Mixed Use,"1919-1944,1980-1989,Pre 1919",4-5m,0,
354,Mixed Use,"1919-1944,1980-1989,Pre 1919",5-6m,0,
355,Mixed Use,"1919-1944,1980-1989,Pre 1919",6-7m,0,
356,Mixed Use,"1919-1944,1980-1989,Pre 1919",7-8m,0,
357,Mixed Use,"1919-1944,1980-1989,Pre 1919",8-9m,0,
358,Mixed Use,"1919-1944,1980-1989,Pre 1919",9-10m,0,
359,Mixed Use,"1919-1944,1980-1989,Pre 1919",10-11m,0,
360,Mixed Use,"1919-1944,1980-1989,Pre 1919",11-12m,1,2.0
361,Mixed Use,"1919-1944,1980-1989,Pre 1919",12-13m,0,
362,Mixed Use,"1919-1944,1980-1989,Pre 1919",13-14m,0,
363,Mixed Use,"1919-1944,1980-1989,Pre 1919",14-15m,0,
364,Mixed Use,"1919-1944,1980-1989,Pre 1919",15-16m,0,
365,Mixed Use,"1919-1944,1980-1989,Pre 1919",16-17m,1,3.0
366,Mixed Use,"1919-1944,1980-1989,Pre 1919",17-18m,0,
367,Mixed Use,"1919-1944,1980-1989,Pre 1919",18-19m,0,
368,Mixed Use,"1919-1944,1980-1989,Pre 1919",19-20m,0,
369,Mixed Use,"1919-1944,1980-1989,Pre 1919",20-22m,1,5.0
370,Mixed Use,"1919-1944,1980-1989,Pre 1919",22-24m,0,
371,Mixed Use,"1919-1944,1980-1989,Pre 1919",24-26m,0,
372,Mixed Use,"1919-1944,1980-1989,Pre 1919",26-28m,1,5.0
373,Mixed Use,"1919-1944,1980-1989,Pre 1919",28-30m,0,
374,Mixed Use,"1919-1944,1980-1989,Pre 1919",30-35m,0,
375,Mixed Use,"1919-1944,1980-1989,Pre 1919",35-40m,0,
376,Mixed Use,"1919-1944,1980-1989,Pre 1919",40-45m,0,
377,Mixed Use,"1919-1944,1980-1989,Pre 1919",45-50m,0,
378,Mixed Use,"1919-1944,1980-1989,Pre 1919",50-55m,0,
379,Mixed Use,"1919-1944,1980-1989,Pre 1919",55-60m,0,
380,Mixed Use,"1919-1944,1980-1989,Pre 1919",60-70m,0,
381,Mixed Use,"1919-1944,1980-1989,Pre 1919",70-80m,0,
382,Mixed Use,"1919-1944,1980-1989,Pre 1919",80-90m,0,
383,Mixed Use,"1919-1944,1980-1989,Pre 1919",90-100m,0,
384,Mixed Use,"1919-1944,1980-1989,Pre 1919",100-200m,0,
385,Mixed Use,"1919-1944,1990-1999",0-2m,0,
386,Mixed Use,"1919-1944,1990-1999",2-3m,0,
387,Mixed Use,"1919-1944,1990-1999",3-4m,0,
388,Mixed Use,"1919-1944,1990-1999",4-5m,0,
389,Mixed Use,"1919-1944,1990-1999",5-6m,0,
390,Mixed Use,"1919-1944,1990-1999",6-7m,0,
391,Mixed Use,"1919-1944,1990-1999",7-8m,1,2.0
392,Mixed Use,"1919-1944,1990-1999",8-9m,1,2.0
393,Mixed Use,"1919-1944,1990-1999",9-10m,5,2.2
394,Mixed Use,"1919-1944,1990-1999",10-11m,2,2.0
395,Mixed Use,"1919-1944,1990-1999",11-12m,0,
396,Mixed Use,"1919-1944,1990-1999",12-13m,0,
397,Mixed Use,"1919-1944,1990-1999",13-14m,0,
398,Mixed Use,"1919-1944,1990-1999",14-15m,0,
399,Mixed Use,"1919-1944,1990-1999",15-16m,0,
